Iteration 1: c = ), s = , state = 0
Iteration 68: c = }, s = ttrttt, state = 4
Iteration 69: c = (, s = tssrre, state = 4
Iteration 70: c = ], s = stssrr, state = 4
Iteration 71: c = [, s = rtsste, state = 4
Iteration 72: c = ), s = rrs, state = 4
Iteration 73: c = {, s = stsr, state = 4
Iteration 74: c = ), s = sr, state = 4
Iteration 75: c = ], s = , state = 4
Iteration 76: c = {, s = , state = 4
Iteration 77: c = (, s = , state = 4
Iteration 78: c = }, s = , state = 4
Iteration 79: c = {, s = etrrte, state = 4
Iteration 80: c = {, s = , state = 4
Iteration 81: c = [, s = tesees, state = 4
Iteration 82: c = }, s = sr, state = 4
Iteration 83: c = }, s = , state = 4
Iteration 84: c = {, s = , state = 4
Iteration 85: c = [, s = tsrsse, state = 4
Iteration 86: c = }, s = s, state = 4
Iteration 87: c = [, s = tersst, state = 4
Iteration 88: c = [, s = stersr, state = 4
Iteration 89: c = }, s = eest, state = 4
Iteration 90: c = a, s = rrrsse, state = 4
Iteration 91: c = (, s = et, state = 5
Iteration 92: c = }, s = , state = 5
Iteration 93: c = x, s = , state = 5
Iteration 94: c = }, s = , state = 6
Iteration 95: c = }, s = , state = 7
Iteration 96: c = x, s = tr, state = 7
Iteration 97: c = a, s = stee, state = 7
Iteration 98: c = }, s = res, state = 7
Iteration 99: c = a, s = ss, state = 7
Iteration 100: c = {, s = e, state = 7
Iteration 101: c = a, s = s, state = 7
Iteration 102: c = ), s = esterr, state = 7
Iteration 103: c = [, s = strt, state = 8
Iteration 104: c = a, s = , state = 8
Iteration 105: c = x, s = te, state = 8
Iteration 106: c = {, s = e, state = 8
Iteration 107: c =  , s = tste, state = 8
Iteration 108: c = }, s = etsttr, state = 8
Iteration 109: c = x, s = ertree, state = 8
Iteration 110: c = x, s = e, state = 8
Iteration 111: c = ), s = et, state = 8
Iteration 112: c = (, s = t, state = 8
Iteration 113: c =  , s = st, state = 8
Iteration 114: c = ), s = essses, state = 8
Iteration 115: c = ), s = e, state = 8
Iteration 116: c = {, s = srrss, state = 8
Iteration 117: c = }, s = rsttre, state = 8
Iteration 118: c = a, s = rsssrr, state = 8
Iteration 119: c = ], s = eesetr, state = 8
Iteration 120: c = x, s = r, state = 9
Iteration 121: c = ], s = tetes, state = 9
Iteration 122: c = ), s = erssst, state = 9
Iteration 123: c = (, s = etsert, state = 9
Iteration 124: c = [, s = , state = 9
Iteration 125: c = }, s = rtetrr, state = 9
Iteration 126: c = (, s = ettete, state = 9
Iteration 127: c = {, s = res, state = 9
Iteration 128: c = [, s = e, state = 9
Iteration 129: c = [, s = essee, state = 9
Iteration 130: c = ), s = rterse, state = 9
Iteration 131: c =  , s = rserst, state = 9
Iteration 132: c =  , s = ttsrs, state = 9
Iteration 133: c = {, s = erese, state = 9
Iteration 134: c = }, s = , state = 9
Iteration 135: c = [, s = s, state = 9
Iteration 136: c = ], s = , state = 9
Iteration 137: c = ], s = etrs, state = 9
Iteration 138: c = ], s = erttet, state = 9
Iteration 139: c = a, s = e, state = 9
Iteration 140: c = [, s = etrrtr, state = 9
Iteration 141: c = {, s = trsrre, state = 9
Iteration 142: c = [, s = , state = 9
Iteration 143: c = [, s = srtss, state = 9
Iteration 144: c = ], s = tettte, state = 9
Iteration 145: c = ], s = , state = 9
Iteration 146: c = [, s = ssst, state = 9
Iteration 147: c = [, s = rrret, state = 9
Iteration 148: c = ], s = s, state = 9
Iteration 149: c = }, s = er, state = 9
Iteration 150: c = {, s = s, state = 9
Iteration 151: c = a, s = ererrr, state = 9
Iteration 152: c = {, s = , state = 9
Iteration 153: c = x, s = trtrrs, state = 9
Iteration 154: c = {, s = ettss, state = 9
Iteration 155: c = [, s = r, state = 9
Iteration 156: c = x, s = srrtte, state = 9
Iteration 157: c = {, s = eett, state = 9
Iteration 158: c = x, s = sr, state = 9
Iteration 159: c = }, s = r, state = 9
Iteration 160: c = [, s = terret, state = 9
Iteration 161: c = ], s = sreser, state = 9
Iteration 162: c = }, s = , state = 9
Iteration 163: c = (, s = trttse, state = 9
Iteration 164: c = a, s = rse, state = 9
Iteration 165: c = ], s = rreere, state = 9
Iteration 166: c = x, s = retrre, state = 9
Iteration 167: c = [, s = estrer, state = 9
Iteration 168: c = [, s = resrr, state = 9
Iteration 169: c = {, s = s, state = 9
Iteration 170: c = a, s = e, state = 9
Iteration 171: c = ], s = reter, state = 9
Iteration 172: c = ], s = e, state = 9
Iteration 173: c = {, s = rete, state = 9
Iteration 174: c = [, s = srs, state = 9
Iteration 175: c = (, s = settss, state = 9
Iteration 176: c = (, s = ssrrtt, state = 9
Iteration 177: c = ], s = trs, state = 9
Iteration 178: c = {, s = rerere, state = 9
Iteration 179: c = [, s = tserst, state = 9
Iteration 180: c = [, s = t, state = 9
Iteration 181: c =  , s = s, state = 9
Iteration 182: c = [, s = , state = 9
Iteration 183: c = {, s = rse, state = 9
Iteration 184: c = [, s = r, state = 9
Iteration 185: c = [, s = trees, state = 9
Iteration 186: c = (, s = rrt, state = 9
Iteration 187: c = a, s = , state = 9
Iteration 188: c = x, s = teet, state = 9
Iteration 189: c = x, s = , state = 9
Iteration 190: c = ), s = teetsr, state = 9
Iteration 191: c = }, s = rtrs, state = 9
Iteration 192: c = {, s = t, state = 9
Iteration 193: c = a, s = ret, state = 9
Iteration 194: c = (, s = srses, state = 9
Iteration 195: c = {, s = , state = 9
Iteration 196: c =  , s = ee, state = 9
Iteration 197: c = ), s = , state = 9
Iteration 198: c = x, s = , state = 9
Iteration 199: c = a, s = , state = 9
Iteration 200: c = a, s = rser, state = 9
Iteration 201: c = }, s = , state = 9
Iteration 202: c =  , s = eeteee, state = 9
Iteration 203: c = x, s = srtrs, state = 9
Iteration 204: c =  , s = rtsse, state = 9
Iteration 205: c = x, s = , state = 9
Iteration 206: c = x, s = eretrt, state = 9
Iteration 207: c =  , s = esrtst, state = 9
Iteration 208: c = x, s = r, state = 9
Iteration 209: c = (, s = ssrtrs, state = 9
Iteration 210: c = x, s = rsr, state = 9
Iteration 211: c = {, s = eere, state = 9
Iteration 212: c = a, s = t, state = 9
Iteration 213: c = a, s = , state = 9
Iteration 214: c = ), s = , state = 9
Iteration 215: c = }, s = es, state = 9
Iteration 216: c = ], s = re, state = 9
Iteration 217: c = a, s = e, state = 9
Iteration 218: c =  , s = rttsst, state = 9
Iteration 219: c = x, s = ee, state = 9
Iteration 220: c = [, s = esrs, state = 9
Iteration 221: c = }, s = , state = 9
Iteration 222: c = {, s = ssrsr, state = 9
Iteration 223: c = x, s = , state = 9
Iteration 224: c = {, s = , state = 9
Iteration 225: c = (, s = se, state = 9
Iteration 226: c = a, s = , state = 9
Iteration 227: c = }, s = s, state = 9
Iteration 228: c = [, s = tst, state = 9
Iteration 229: c = ], s = ssrrt, state = 9
Iteration 230: c = }, s = treter, state = 9
Iteration 231: c = a, s = e, state = 9
Iteration 232: c =  , s = r, state = 9
Iteration 233: c = }, s = etet, state = 9
Iteration 234: c = {, s = e, state = 9
Iteration 235: c = }, s = ss, state = 9
Iteration 236: c = x, s = ete, state = 9
Iteration 237: c = [, s = rseess, state = 9
Iteration 238: c = a, s = rs, state = 9
Iteration 239: c = ], s = e, state = 9
Iteration 240: c = {, s = ssrsrr, state = 9
Iteration 241: c = (, s = eesers, state = 9
Iteration 242: c = {, s = s, state = 9
Iteration 243: c = x, s = , state = 9
Iteration 244: c = (, s = srs, state = 9
Iteration 245: c = ], s = t, state = 9
Iteration 246: c = }, s = , state = 9
Iteration 247: c = x, s = , state = 9
Iteration 248: c = x, s = , state = 9
Iteration 249: c =  , s = rse, state = 9
Iteration 250: c = a, s = rtt, state = 9
Iteration 251: c = [, s = tt, state = 9
Iteration 252: c = (, s = strret, state = 9
Iteration 253: c = ], s = tr, state = 9
Iteration 254: c = a, s = , state = 9
Iteration 255: c = a, s = , state = 9
Iteration 256: c = [, s = set, state = 9
Iteration 257: c = ], s = sterre, state = 9
Iteration 258: c = ), s = , state = 9
Iteration 259: c = x, s = , state = 9
Iteration 260: c = ), s = , state = 9
Iteration 261: c = a, s = , state = 9
Iteration 262: c = [, s = ssstrr, state = 9
Iteration 263: c = ), s = ttse, state = 9
Iteration 264: c = [, s = ertrss, state = 9
Iteration 265: c = }, s = ee, state = 9
Iteration 266: c = (, s = , state = 9
Iteration 267: c = a, s = , state = 9
Iteration 268: c = ), s = sts, state = 9
Iteration 269: c = x, s = rrtrre, state = 9
Iteration 270: c = ], s = t, state = 9
Iteration 271: c = a, s = rsesst, state = 9
Iteration 272: c = {, s = reter, state = 9
Iteration 273: c = {, s = se, state = 9
Iteration 274: c = x, s = ss, state = 9
Iteration 275: c = (, s = rt, state = 9
Iteration 276: c = [, s = s, state = 9
Iteration 277: c = ), s = , state = 9
Iteration 278: c = ], s = , state = 9
Iteration 279: c = }, s = t, state = 9
Iteration 280: c = a, s = , state = 9
Iteration 281: c = a, s = rssree, state = 9
Iteration 282: c =  , s = trssrr, state = 9
Iteration 283: c = [, s = , state = 9
Iteration 284: c = {, s = treses, state = 9
Iteration 285: c = ), s = s, state = 9
Iteration 286: c = (, s = rttt, state = 9
Iteration 287: c = [, s = , state = 9
Iteration 288: c = }, s = , state = 9
Iteration 289: c = }, s = ssstrr, state = 9
Iteration 290: c = ), s = r, state = 9
Iteration 291: c = ), s = , state = 9
Iteration 292: c = ], s = re, state = 9
Iteration 293: c = a, s = err, state = 9
Iteration 294: c = (, s = e, state = 9
Iteration 295: c = x, s = ees, state = 9
Iteration 296: c = {, s = , state = 9
Iteration 297: c = {, s = , state = 9
Iteration 298: c = [, s = , state = 9
Iteration 299: c = (, s = ereees, state = 9
Iteration 300: c = [, s = e, state = 9
Iteration 301: c = ), s = sr, state = 9
Iteration 302: c = a, s = re, state = 9
Iteration 303: c = ], s = tsttst, state = 9
Iteration 304: c = (, s = t, state = 9
Iteration 305: c = x, s = eerset, state = 9
Iteration 306: c = (, s = sstsse, state = 9
Iteration 307: c = x, s = r, state = 9
Iteration 308: c = [, s = r, state = 9
Iteration 309: c = ], s = s, state = 9
Iteration 310: c = x, s = e, state = 9
Iteration 311: c = x, s = , state = 9
Iteration 312: c = {, s = rett, state = 9
Iteration 313: c = [, s = reesee, state = 9
Iteration 314: c = ), s = e, state = 9
Iteration 315: c = ), s = sree, state = 9
Iteration 316: c = ], s = , state = 9
Iteration 317: c = [, s = sesses, state = 9
Iteration 318: c = ], s = et, state = 9
Iteration 319: c = }, s = srtrtr, state = 9
Iteration 320: c = ], s = , state = 9
Iteration 321: c = {, s = sssts, state = 9
Iteration 322: c =  , s = , state = 9
Iteration 323: c = }, s = ttrstt, state = 9
Iteration 324: c = ), s = s, state = 9
Iteration 325: c = (, s = rere, state = 9
Iteration 326: c = (, s = rtst, state = 9
Iteration 327: c = [, s = , state = 9
Iteration 328: c = x, s = serree, state = 9
Iteration 329: c = ], s = eeer, state = 9
Iteration 330: c = }, s = es, state = 9
Iteration 331: c = ), s = rtrs, state = 9
Iteration 332: c = (, s = , state = 9
Iteration 333: c = x, s = tertsr, state = 9
Iteration 334: c = [, s = rsts, state = 9
Iteration 335: c = ], s = rt, state = 9
Iteration 336: c = ), s = rsrstt, state = 9
Iteration 337: c =  , s = stsrrs, state = 9
Iteration 338: c = {, s = e, state = 9
Iteration 339: c = ), s = , state = 9
Iteration 340: c = [, s = , state = 9
Iteration 341: c = x, s = estses, state = 9
Iteration 342: c = {, s = e, state = 9
Iteration 343: c = [, s = e, state = 9
Iteration 344: c = a, s = ssrrss, state = 9
Iteration 345: c = [, s = , state = 9
Iteration 346: c = ), s = rresre, state = 9
Iteration 347: c =  , s = rtrsss, state = 9
Iteration 348: c =  , s = sr, state = 9
Iteration 349: c = ], s = , state = 9
Iteration 350: c = (, s = estset, state = 9
Iteration 351: c = ], s = rr, state = 9
Iteration 352: c = {, s = rtrt, state = 9
Iteration 353: c = ), s = r, state = 9
Iteration 354: c = x, s = re, state = 9
Iteration 355: c = ), s = rrstrt, state = 9
Iteration 356: c = (, s = retrt, state = 9
Iteration 357: c = {, s = s, state = 9
Iteration 358: c = a, s = , state = 9
Iteration 359: c =  , s = e, state = 9
Iteration 360: c =  , s = tset, state = 9
Iteration 361: c = ), s = st, state = 9
Iteration 362: c = ], s = srsrs, state = 9
Iteration 363: c = ), s = rr, state = 9
Iteration 364: c = (, s = stse, state = 9
Iteration 365: c = a, s = etrtrs, state = 9
Iteration 366: c = x, s = srtrte, state = 9
Iteration 367: c = }, s = r, state = 9
Iteration 368: c = [, s = ts, state = 9
Iteration 369: c = a, s = t, state = 9
Iteration 370: c =  , s = , state = 9
Iteration 371: c =  , s = , state = 9
Iteration 372: c =  , s = r, state = 9
Iteration 373: c = ), s = s, state = 9
Iteration 374: c = ), s = srsr, state = 9
Iteration 375: c =  , s = ss, state = 9
Iteration 376: c = ], s = , state = 9
Iteration 377: c =  , s = , state = 9
Iteration 378: c =  , s = , state = 9
Iteration 379: c = ], s = reeert, state = 9
Iteration 380: c = (, s = ts, state = 9
Iteration 381: c = {, s = tsss, state = 9
Iteration 382: c = ], s = rrtse, state = 9
Iteration 383: c = (, s = s, state = 9
Iteration 384: c = {, s = r, state = 9
Iteration 385: c = x, s = srest, state = 9
Iteration 386: c = x, s = sseest, state = 9
Iteration 387: c = [, s = ss, state = 9
Iteration 388: c = [, s = reett, state = 9
Iteration 389: c =  , s = errste, state = 9
Iteration 390: c = ], s = , state = 9
Iteration 391: c = [, s = ssr, state = 9
Iteration 392: c = ), s = s, state = 9
Iteration 393: c = {, s = s, state = 9
Iteration 394: c = a, s = , state = 9
Iteration 395: c = (, s = r, state = 9
Iteration 396: c = [, s = srtr, state = 9
Iteration 397: c = [, s = ertsre, state = 9
Iteration 398: c = (, s = eer, state = 9
Iteration 399: c = x, s = , state = 9
Iteration 400: c = ], s = sse, state = 9
Iteration 401: c = a, s = tertee, state = 9
Iteration 402: c = {, s = esr, state = 9
Iteration 403: c = [, s = rtrrs, state = 9
Iteration 404: c = [, s = , state = 9
Iteration 405: c = a, s = steer, state = 9
Iteration 406: c = a, s = , state = 9
Iteration 407: c =  , s = ee, state = 9
Iteration 408: c =  , s = esrtss, state = 9
Iteration 409: c = {, s = rs, state = 9
Iteration 410: c = }, s = ees, state = 9
Iteration 411: c = }, s = , state = 9
Iteration 412: c =  , s = trtre, state = 9
Iteration 413: c = a, s = sres, state = 9
Iteration 414: c = (, s = t, state = 9
Iteration 415: c = {, s = ttse, state = 9
Iteration 416: c = }, s = , state = 9
Iteration 417: c = x, s = sts, state = 9
Iteration 418: c = ], s = , state = 9
Iteration 419: c = {, s = e, state = 9
Iteration 420: c = x, s = r, state = 9
Iteration 421: c = }, s = tssrer, state = 9
Iteration 422: c = ], s = ett, state = 9
Iteration 423: c = }, s = t, state = 9
Iteration 424: c = {, s = r, state = 9
Iteration 425: c = }, s = ttesrs, state = 9
Iteration 426: c = (, s = eet, state = 9
Iteration 427: c =  , s = , state = 9
Iteration 428: c =  , s = er, state = 9
Iteration 429: c = ), s = , state = 9
Iteration 430: c = x, s = , state = 9
Iteration 431: c = {, s = , state = 9
Iteration 432: c = [, s = se, state = 9
Iteration 433: c = x, s = rst, state = 9
Iteration 434: c = ], s = re, state = 9
Iteration 435: c = a, s = r, state = 9
Iteration 436: c = (, s = rte, state = 9
Iteration 437: c = ], s = rrttst, state = 9
Iteration 438: c = a, s = tr, state = 9
Iteration 439: c = x, s = t, state = 9
Iteration 440: c = ), s = settrs, state = 9
Iteration 441: c = }, s = , state = 9
Iteration 442: c = ], s = rre, state = 9
Iteration 443: c = x, s = etsrt, state = 9
Iteration 444: c =  , s = trt, state = 9
Iteration 445: c = a, s = rt, state = 9
Iteration 446: c = [, s = , state = 9
Iteration 447: c = ], s = et, state = 9
Iteration 448: c = x, s = r, state = 9
Iteration 449: c = ), s = es, state = 9
Iteration 450: c = ], s = etetee, state = 9
Iteration 451: c = ), s = reertr, state = 9
Iteration 452: c = a, s = , state = 9
Iteration 453: c = ), s = , state = 9
Iteration 454: c = (, s = , state = 9
Iteration 455: c = ), s = tr, state = 9
Iteration 456: c = ), s = rre, state = 9
Iteration 457: c = }, s = tsrtts, state = 9
Iteration 458: c = a, s = ereer, state = 9
Iteration 459: c = x, s = , state = 9
Iteration 460: c =  , s = tts, state = 9
Iteration 461: c = {, s = rstrrt, state = 9
Iteration 462: c = a, s = teses, state = 9
Iteration 463: c = [, s = errt, state = 9
Iteration 464: c = {, s = r, state = 9
Iteration 465: c = x, s = st, state = 9
Iteration 466: c = ), s = , state = 9
Iteration 467: c = }, s = r, state = 9
Iteration 468: c = [, s = se, state = 9
Iteration 469: c = [, s = etr, state = 9
Iteration 470: c =  , s = ese, state = 9
Iteration 471: c = [, s = tss, state = 9
Iteration 472: c = x, s = tr, state = 9
Iteration 473: c =  , s = resert, state = 9
Iteration 474: c = ), s = stsre, state = 9
Iteration 475: c = a, s = stsrre, state = 9
Iteration 476: c = ), s = re, state = 9
Iteration 477: c = (, s = errees, state = 9
Iteration 478: c = ], s = rr, state = 9
Iteration 479: c = {, s = rtrsss, state = 9
Iteration 480: c = [, s = sst, state = 9
Iteration 481: c =  , s = , state = 9
Iteration 482: c = {, s = ee, state = 9
Iteration 483: c = [, s = rstrs, state = 9
Iteration 484: c =  , s = , state = 9
Iteration 485: c = ], s = tretr, state = 9
Iteration 486: c = }, s = rstess, state = 9
Iteration 487: c = a, s = st, state = 9
Iteration 488: c = {, s = s, state = 9
Iteration 489: c =  , s = , state = 9
Iteration 490: c = }, s = e, state = 9
Iteration 491: c = x, s = s, state = 9
Iteration 492: c = x, s = eestts, state = 9
Iteration 493: c = {, s = sesres, state = 9
Iteration 494: c =  , s = r, state = 9
Iteration 495: c = {, s = ser, state = 9
Iteration 496: c = (, s = tttttr, state = 9
Iteration 497: c =  , s = ts, state = 9
Iteration 498: c = }, s = , state = 9
Iteration 499: c = ), s = rtrstr, state = 9
Iteration 500: c = [, s = s, state = 9
Iteration 501: c = a, s = re, state = 9
Iteration 502: c = [, s = eer, state = 9
Iteration 503: c = x, s = eesers, state = 9
Iteration 504: c = x, s = t, state = 9
Iteration 505: c = ), s = errees, state = 9
Iteration 506: c = x, s = rereet, state = 9
Iteration 507: c = [, s = t, state = 9
Iteration 508: c = ), s = rreess, state = 9
Iteration 509: c = (, s = ssessr, state = 9
Iteration 510: c = [, s = rsrrst, state = 9
Iteration 511: c = a, s = rrr, state = 9
Iteration 512: c = x, s = , state = 9
Iteration 513: c = {, s = sete, state = 9
Iteration 514: c =  , s = srssee, state = 9
Iteration 515: c = a, s = rsstse, state = 9
Iteration 516: c = ], s = tte, state = 9
Iteration 517: c =  , s = , state = 9
Iteration 518: c =  , s = eet, state = 9
Iteration 519: c = a, s = , state = 9
Iteration 520: c = a, s = esesrs, state = 9
Iteration 521: c = }, s = rsssss, state = 9
Iteration 522: c = [, s = , state = 9
Iteration 523: c = ], s = ttreer, state = 9
Iteration 524: c = x, s = ses, state = 9
Iteration 525: c = ), s = t, state = 9
Iteration 526: c = {, s = e, state = 9
Iteration 527: c = }, s = strese, state = 9
Iteration 528: c = }, s = , state = 9
Iteration 529: c = a, s = estrrr, state = 9
Iteration 530: c = a, s = terter, state = 9
Iteration 531: c = ], s = e, state = 9
Iteration 532: c = (, s = , state = 9
Iteration 533: c = [, s = sre, state = 9
Iteration 534: c = [, s = serser, state = 9
Iteration 535: c = a, s = eers, state = 9
Iteration 536: c = ], s = eretse, state = 9
Iteration 537: c = (, s = eetsst, state = 9
Iteration 538: c = ), s = tr, state = 9
Iteration 539: c = (, s = stt, state = 9
Iteration 540: c = ), s = sss, state = 9
Iteration 541: c = a, s = , state = 9
Iteration 542: c = ), s = s, state = 9
Iteration 543: c = ), s = , state = 9
Iteration 544: c = ], s = re, state = 9
Iteration 545: c = a, s = tet, state = 9
Iteration 546: c = ), s = ere, state = 9
Iteration 547: c = {, s = er, state = 9
Iteration 548: c = ), s = rrts, state = 9
Iteration 549: c = ), s = rserte, state = 9
Iteration 550: c = (, s = rterts, state = 9
Iteration 551: c = [, s = , state = 9
Iteration 552: c = (, s = rs, state = 9
Iteration 553: c = (, s = , state = 9
Iteration 554: c = {, s = ersrts, state = 9
Iteration 555: c = {, s = ttssre, state = 9
Iteration 556: c = ), s = , state = 9
Iteration 557: c = }, s = s, state = 9
Iteration 558: c = x, s = r, state = 9
Iteration 559: c = ), s = , state = 9
Iteration 560: c = ), s = rss, state = 9
Iteration 561: c =  , s = es, state = 9
Iteration 562: c =  , s = stese, state = 9
Iteration 563: c =  , s = r, state = 9
Iteration 564: c = {, s = , state = 9
Iteration 565: c = ), s = s, state = 9
Iteration 566: c = ), s = , state = 9
Iteration 567: c = {, s = stssst, state = 9
Iteration 568: c = ), s = t, state = 9
Iteration 569: c = [, s = , state = 9
Iteration 570: c =  , s = rs, state = 9
Iteration 571: c = [, s = , state = 9
Iteration 572: c = x, s = sstrrr, state = 9
Iteration 573: c = x, s = sssrrt, state = 9
Iteration 574: c = }, s = eese, state = 9
Iteration 575: c = [, s = er, state = 9
Iteration 576: c =  , s = str, state = 9
Iteration 577: c = (, s = sr, state = 9
Iteration 578: c = (, s = , state = 9
Iteration 579: c = x, s = , state = 9
Iteration 580: c = a, s = stert, state = 9
Iteration 581: c =  , s = e, state = 9
Iteration 582: c = [, s = esrese, state = 9
Iteration 583: c = {, s = sssttt, state = 9
Iteration 584: c = ], s = r, state = 9
Iteration 585: c = x, s = esesrs, state = 9
Iteration 586: c =  , s = s, state = 9
Iteration 587: c = }, s = e, state = 9
Iteration 588: c =  , s = restts, state = 9
Iteration 589: c = {, s = , state = 9
Iteration 590: c = ], s = srsttr, state = 9
Iteration 591: c = [, s = te, state = 9
Iteration 592: c = }, s = s, state = 9
Iteration 593: c = (, s = t, state = 9
Iteration 594: c = ), s = ere, state = 9
Iteration 595: c = ), s = rer, state = 9
Iteration 596: c =  , s = ts, state = 9
Iteration 597: c = x, s = r, state = 9
Iteration 598: c = [, s = esttee, state = 9
Iteration 599: c = (, s = s, state = 9
Iteration 600: c =  , s = tr, state = 9
Iteration 601: c = [, s = , state = 9
Iteration 602: c = (, s = terts, state = 9
Iteration 603: c = {, s = r, state = 9
Iteration 604: c = x, s = , state = 9
Iteration 605: c = x, s = rersss, state = 9
Iteration 606: c = x, s = , state = 9
Iteration 607: c = }, s = , state = 9
Iteration 608: c = {, s = ssett, state = 9
Iteration 609: c = x, s = , state = 9
Iteration 610: c = [, s = s, state = 9
Iteration 611: c = a, s = rr, state = 9
Iteration 612: c = ), s = , state = 9
Iteration 613: c = [, s = , state = 9
Iteration 614: c = [, s = sttter, state = 9
Iteration 615: c = ), s = s, state = 9
Iteration 616: c = [, s = e, state = 9
Iteration 617: c = (, s = srrt, state = 9
Iteration 618: c = (, s = eer, state = 9
Iteration 619: c = }, s = s, state = 9
Iteration 620: c = }, s = sr, state = 9
Iteration 621: c = }, s = ster, state = 9
Iteration 622: c = [, s = , state = 9
Iteration 623: c = {, s = etrses, state = 9
Iteration 624: c = (, s = ssstet, state = 9
Iteration 625: c = a, s = , state = 9
Iteration 626: c = ], s = rrtss, state = 9
Iteration 627: c = }, s = t, state = 9
Iteration 628: c = [, s = srrte, state = 9
Iteration 629: c = }, s = ssstes, state = 9
Iteration 630: c = }, s = eseese, state = 9
Iteration 631: c =  , s = et, state = 9
Iteration 632: c = x, s = , state = 9
Iteration 633: c = }, s = sstte, state = 9
Iteration 634: c = }, s = srt, state = 9
Iteration 635: c =  , s = , state = 9
Iteration 636: c = {, s = sete, state = 9
Iteration 637: c = a, s = rrsss, state = 9
Iteration 638: c =  , s = , state = 9
Iteration 639: c = }, s = esttsr, state = 9
Iteration 640: c = ), s = sesree, state = 9
Iteration 641: c = [, s = te, state = 9
Iteration 642: c = [, s = , state = 9
Iteration 643: c = a, s = esret, state = 9
Iteration 644: c = a, s = rtt, state = 9
Iteration 645: c = a, s = rettse, state = 9
Iteration 646: c = [, s = , state = 9
Iteration 647: c = x, s = tsrete, state = 9
Iteration 648: c = (, s = s, state = 9
Iteration 649: c =  , s = ester, state = 9
Iteration 650: c = ], s = e, state = 9
Iteration 651: c =  , s = eererr, state = 9
Iteration 652: c =  , s = , state = 9
Iteration 653: c = }, s = etr, state = 9
Iteration 654: c = ], s = setst, state = 9
Iteration 655: c = ), s = e, state = 9
Iteration 656: c = x, s = tretrt, state = 9
Iteration 657: c = {, s = tetee, state = 9
Iteration 658: c = (, s = , state = 9
Iteration 659: c = (, s = rrrr, state = 9
Iteration 660: c = ], s = stss, state = 9
Iteration 661: c =  , s = str, state = 9
Iteration 662: c = }, s = rrsset, state = 9
Iteration 663: c = x, s = se, state = 9
Iteration 664: c = x, s = trrr, state = 9
Iteration 665: c = }, s = esstre, state = 9
Iteration 666: c = (, s = t, state = 9
Iteration 667: c = ), s = , state = 9
Iteration 668: c = ), s = e, state = 9
Iteration 669: c = {, s = st, state = 9
Iteration 670: c = {, s = rssrer, state = 9
