Iteration 1: c = [, s = ettrte, state = 0
Iteration 83: c = {, s = ttesst, state = 9
Iteration 84: c = {, s = e, state = 9
Iteration 85: c =  , s = eerrst, state = 9
Iteration 86: c = {, s = este, state = 9
Iteration 87: c = (, s = seeete, state = 9
Iteration 88: c = {, s = rs, state = 9
Iteration 89: c = a, s = eessse, state = 9
Iteration 90: c = (, s = rserte, state = 9
Iteration 91: c = (, s = e, state = 9
Iteration 92: c = {, s = s, state = 9
Iteration 93: c = ), s = , state = 9
Iteration 94: c = (, s = sesest, state = 9
Iteration 95: c =  , s = sre, state = 9
Iteration 96: c = ), s = st, state = 9
Iteration 97: c = [, s = etsr, state = 9
Iteration 98: c = {, s = , state = 9
Iteration 99: c = [, s = sester, state = 9
Iteration 100: c = x, s = reese, state = 9
Iteration 101: c = x, s = , state = 9
Iteration 102: c = x, s = sstrsr, state = 9
Iteration 103: c = ], s = ssttt, state = 9
Iteration 104: c =  , s = ts, state = 9
Iteration 105: c = x, s = , state = 9
Iteration 106: c = ], s = , state = 9
Iteration 107: c = ], s = e, state = 9
Iteration 108: c = {, s = rtster, state = 9
Iteration 109: c =  , s = , state = 9
Iteration 110: c = a, s = , state = 9
Iteration 111: c = a, s = erssrr, state = 9
Iteration 112: c = [, s = es, state = 9
Iteration 113: c =  , s = ets, state = 9
Iteration 114: c = [, s = srerte, state = 9
Iteration 115: c =  , s = , state = 9
Iteration 116: c = [, s = ttstrt, state = 9
Iteration 117: c = ), s = rtsr, state = 9
Iteration 118: c = x, s = , state = 9
Iteration 119: c = ], s = tsstes, state = 9
Iteration 120: c =  , s = trss, state = 9
Iteration 121: c = }, s = , state = 9
Iteration 122: c = }, s = srsses, state = 9
Iteration 123: c = {, s = t, state = 9
Iteration 124: c = x, s = t, state = 9
Iteration 125: c = (, s = , state = 9
Iteration 126: c = }, s = srrtrs, state = 9
Iteration 127: c = ), s = s, state = 9
Iteration 128: c = }, s = eeertt, state = 9
Iteration 129: c = {, s = e, state = 9
Iteration 130: c = x, s = , state = 9
Iteration 131: c = }, s = terrts, state = 9
Iteration 132: c = (, s = es, state = 9
Iteration 133: c = [, s = settet, state = 9
Iteration 134: c =  , s = s, state = 9
Iteration 135: c = x, s = rt, state = 9
Iteration 136: c = [, s = ttsrer, state = 9
Iteration 137: c =  , s = er, state = 9
Iteration 138: c = (, s = rett, state = 9
Iteration 139: c = (, s = restrr, state = 9
Iteration 140: c = ), s = te, state = 9
Iteration 141: c = ], s = trttte, state = 9
Iteration 142: c = ), s = er, state = 9
Iteration 143: c = }, s = r, state = 9
Iteration 144: c = x, s = , state = 9
Iteration 145: c = [, s = , state = 9
Iteration 146: c = x, s = , state = 9
Iteration 147: c = {, s = , state = 9
Iteration 148: c = {, s = ets, state = 9
Iteration 149: c = x, s = ers, state = 9
Iteration 150: c = ), s = tteerr, state = 9
Iteration 151: c = }, s = , state = 9
Iteration 152: c = x, s = , state = 9
Iteration 153: c =  , s = etre, state = 9
Iteration 154: c = ), s = rr, state = 9
Iteration 155: c =  , s = rrt, state = 9
Iteration 156: c = a, s = , state = 9
Iteration 157: c =  , s = rttes, state = 9
Iteration 158: c = ), s = teetrr, state = 9
Iteration 159: c = {, s = rrstr, state = 9
Iteration 160: c = {, s = , state = 9
Iteration 161: c = {, s = rerstr, state = 9
Iteration 162: c = a, s = e, state = 9
Iteration 163: c = a, s = retrr, state = 9
Iteration 164: c =  , s = erttr, state = 9
Iteration 165: c =  , s = ssrtss, state = 9
Iteration 166: c = (, s = essets, state = 9
Iteration 167: c = a, s = tt, state = 9
Iteration 168: c = }, s = e, state = 9
Iteration 169: c = [, s = tstetr, state = 9
Iteration 170: c = [, s = rste, state = 9
Iteration 171: c = a, s = e, state = 9
Iteration 172: c = [, s = , state = 9
Iteration 173: c = (, s = ererst, state = 9
Iteration 174: c = ], s = rtrrrr, state = 9
Iteration 175: c = x, s = sssrr, state = 9
Iteration 176: c = ], s = terssr, state = 9
Iteration 177: c =  , s = r, state = 9
Iteration 178: c = (, s = er, state = 9
Iteration 179: c = }, s = r, state = 9
Iteration 180: c = x, s = es, state = 9
Iteration 181: c = (, s = etrrer, state = 9
Iteration 182: c = x, s = , state = 9
Iteration 183: c = }, s = rteess, state = 9
Iteration 184: c =  , s = , state = 9
Iteration 185: c = }, s = , state = 9
Iteration 186: c = ], s = sr, state = 9
Iteration 187: c = {, s = resers, state = 9
Iteration 188: c = ), s = t, state = 9
Iteration 189: c = }, s = rttsst, state = 9
Iteration 190: c = (, s = , state = 9
Iteration 191: c = ), s = s, state = 9
Iteration 192: c =  , s = rr, state = 9
Iteration 193: c = }, s = , state = 9
Iteration 194: c = ], s = , state = 9
Iteration 195: c = a, s = , state = 9
Iteration 196: c = }, s = srrtrt, state = 9
Iteration 197: c = x, s = tres, state = 9
Iteration 198: c = {, s = r, state = 9
Iteration 199: c =  , s = s, state = 9
Iteration 200: c = (, s = rr, state = 9
Iteration 201: c = ), s = rrsts, state = 9
Iteration 202: c = x, s = trs, state = 9
Iteration 203: c = a, s = , state = 9
Iteration 204: c = ], s = rt, state = 9
Iteration 205: c = a, s = ttett, state = 9
Iteration 206: c = [, s = rette, state = 9
Iteration 207: c = (, s = tetsrr, state = 9
Iteration 208: c =  , s = e, state = 9
Iteration 209: c = {, s = s, state = 9
Iteration 210: c = ), s = srsere, state = 9
Iteration 211: c = x, s = e, state = 9
Iteration 212: c = }, s = tees, state = 9
Iteration 213: c = x, s = e, state = 9
Iteration 214: c = }, s = , state = 9
Iteration 215: c = ), s = rrerre, state = 9
Iteration 216: c = (, s = , state = 9
Iteration 217: c = a, s = , state = 9
Iteration 218: c =  , s = ss, state = 9
Iteration 219: c = [, s = e, state = 9
Iteration 220: c = ], s = , state = 9
Iteration 221: c = a, s = tr, state = 9
Iteration 222: c = [, s = tts, state = 9
Iteration 223: c = [, s = trrett, state = 9
Iteration 224: c = (, s = , state = 9
Iteration 225: c = }, s = erert, state = 9
Iteration 226: c = }, s = t, state = 9
Iteration 227: c = ], s = rrs, state = 9
Iteration 228: c = {, s = teeete, state = 9
Iteration 229: c = {, s = rr, state = 9
Iteration 230: c = (, s = , state = 9
Iteration 231: c = a, s = , state = 9
Iteration 232: c = [, s = ttrstr, state = 9
Iteration 233: c = }, s = retrrs, state = 9
Iteration 234: c = a, s = ttrtes, state = 9
Iteration 235: c = ], s = rer, state = 9
Iteration 236: c = a, s = s, state = 9
Iteration 237: c = ), s = ssrete, state = 9
Iteration 238: c = }, s = , state = 9
Iteration 239: c = {, s = , state = 9
Iteration 240: c = }, s = r, state = 9
Iteration 241: c = ), s = serr, state = 9
Iteration 242: c = }, s = srsstr, state = 9
Iteration 243: c = }, s = etette, state = 9
Iteration 244: c = }, s = e, state = 9
Iteration 245: c = x, s = srr, state = 9
Iteration 246: c = x, s = eeeses, state = 9
Iteration 247: c = ], s = ttsrs, state = 9
Iteration 248: c = [, s = er, state = 9
Iteration 249: c = }, s = rstetr, state = 9
Iteration 250: c = ], s = tt, state = 9
Iteration 251: c = ], s = eerttt, state = 9
Iteration 252: c = [, s = re, state = 9
Iteration 253: c = x, s = ertr, state = 9
Iteration 254: c = ], s = es, state = 9
Iteration 255: c = ), s = etteet, state = 9
Iteration 256: c = (, s = tsserr, state = 9
Iteration 257: c =  , s = eere, state = 9
Iteration 258: c = ], s = eetstt, state = 9
Iteration 259: c = [, s = etsere, state = 9
Iteration 260: c = }, s = eeer, state = 9
Iteration 261: c = a, s = ss, state = 9
Iteration 262: c = {, s = sresrr, state = 9
Iteration 263: c = (, s = t, state = 9
Iteration 264: c = ], s = , state = 9
Iteration 265: c = a, s = , state = 9
Iteration 266: c = {, s = trtrrr, state = 9
Iteration 267: c = [, s = rtrr, state = 9
Iteration 268: c = (, s = e, state = 9
Iteration 269: c = {, s = rtrssr, state = 9
Iteration 270: c = [, s = , state = 9
Iteration 271: c = [, s = ett, state = 9
Iteration 272: c = (, s = rrsrsr, state = 9
Iteration 273: c = }, s = esees, state = 9
Iteration 274: c = {, s = , state = 9
Iteration 275: c = x, s = , state = 9
Iteration 276: c =  , s = tseres, state = 9
Iteration 277: c = a, s = , state = 9
Iteration 278: c = {, s = srtrt, state = 9
Iteration 279: c = {, s = r, state = 9
Iteration 280: c = }, s = tss, state = 9
Iteration 281: c = [, s = seresr, state = 9
Iteration 282: c = (, s = ssrt, state = 9
Iteration 283: c = [, s = essets, state = 9
Iteration 284: c = ], s = errrss, state = 9
Iteration 285: c = ], s = srsree, state = 9
Iteration 286: c = }, s = , state = 9
Iteration 287: c = }, s = ertsee, state = 9
Iteration 288: c = a, s = sss, state = 9
Iteration 289: c = [, s = rt, state = 9
Iteration 290: c = a, s = tsrsst, state = 9
Iteration 291: c = ), s = re, state = 9
Iteration 292: c = ], s = errsst, state = 9
Iteration 293: c = a, s = rtrr, state = 9
Iteration 294: c = ], s = se, state = 9
Iteration 295: c = }, s = e, state = 9
Iteration 296: c = ), s = , state = 9
Iteration 297: c = ), s = , state = 9
Iteration 298: c = ), s = trrrrs, state = 9
Iteration 299: c = ), s = ttrrsr, state = 9
Iteration 300: c = [, s = rt, state = 9
Iteration 301: c = a, s = s, state = 9
Iteration 302: c = ), s = stertr, state = 9
Iteration 303: c = x, s = , state = 9
Iteration 304: c = [, s = te, state = 9
Iteration 305: c = (, s = reret, state = 9
Iteration 306: c = {, s = errrtr, state = 9
Iteration 307: c = x, s = ssrs, state = 9
Iteration 308: c = a, s = r, state = 9
Iteration 309: c = ], s = , state = 9
Iteration 310: c = }, s = e, state = 9
Iteration 311: c = x, s = , state = 9
Iteration 312: c =  , s = rtes, state = 9
Iteration 313: c = {, s = sttrrs, state = 9
Iteration 314: c = ], s = ssrsee, state = 9
Iteration 315: c = {, s = rssstr, state = 9
Iteration 316: c = [, s = e, state = 9
Iteration 317: c = {, s = , state = 9
Iteration 318: c = (, s = terrsr, state = 9
Iteration 319: c = ], s = ss, state = 9
Iteration 320: c = x, s = sr, state = 9
Iteration 321: c =  , s = rsestt, state = 9
Iteration 322: c =  , s = , state = 9
Iteration 323: c =  , s = rrttss, state = 9
Iteration 324: c = a, s = rsee, state = 9
Iteration 325: c = }, s = rrrter, state = 9
Iteration 326: c = [, s = teettr, state = 9
Iteration 327: c = x, s = s, state = 9
Iteration 328: c = {, s = te, state = 9
Iteration 329: c = {, s = r, state = 9
Iteration 330: c = [, s = s, state = 9
Iteration 331: c =  , s = ser, state = 9
Iteration 332: c = ), s = tr, state = 9
Iteration 333: c = ), s = trt, state = 9
Iteration 334: c = ], s = s, state = 9
Iteration 335: c =  , s = etstrt, state = 9
Iteration 336: c = [, s = rt, state = 9
Iteration 337: c = ], s = rse, state = 9
Iteration 338: c = {, s = ees, state = 9
Iteration 339: c = [, s = e, state = 9
Iteration 340: c = a, s = ets, state = 9
Iteration 341: c =  , s = , state = 9
Iteration 342: c = {, s = t, state = 9
Iteration 343: c = (, s = stsrsr, state = 9
Iteration 344: c =  , s = , state = 9
Iteration 345: c = (, s = te, state = 9
Iteration 346: c = }, s = stteet, state = 9
Iteration 347: c =  , s = reesr, state = 9
Iteration 348: c = a, s = er, state = 9
Iteration 349: c = {, s = set, state = 9
Iteration 350: c = }, s = t, state = 9
Iteration 351: c = ], s = s, state = 9
Iteration 352: c =  , s = t, state = 9
Iteration 353: c = }, s = tt, state = 9
Iteration 354: c = }, s = tstsre, state = 9
Iteration 355: c =  , s = , state = 9
Iteration 356: c =  , s = trss, state = 9
Iteration 357: c =  , s = eetrss, state = 9
Iteration 358: c = a, s = eretee, state = 9
Iteration 359: c = x, s = , state = 9
Iteration 360: c = }, s = r, state = 9
Iteration 361: c = }, s = set, state = 9
Iteration 362: c = ), s = serrer, state = 9
Iteration 363: c =  , s = , state = 9
Iteration 364: c = }, s = rs, state = 9
Iteration 365: c = ], s = tstrs, state = 9
Iteration 366: c = x, s = rsts, state = 9
Iteration 367: c = ), s = , state = 9
Iteration 368: c = ], s = ttrtrt, state = 9
Iteration 369: c = (, s = e, state = 9
Iteration 370: c = (, s = , state = 9
Iteration 371: c = x, s = ets, state = 9
Iteration 372: c = ), s = , state = 9
Iteration 373: c = x, s = ettess, state = 9
Iteration 374: c = ), s = es, state = 9
Iteration 375: c = {, s = eesett, state = 9
Iteration 376: c = }, s = ss, state = 9
Iteration 377: c = }, s = rrrrt, state = 9
Iteration 378: c = ], s = errses, state = 9
Iteration 379: c = {, s = tt, state = 9
Iteration 380: c = }, s = estr, state = 9
Iteration 381: c = [, s = tetre, state = 9
Iteration 382: c = (, s = teetsr, state = 9
Iteration 383: c = }, s = , state = 9
Iteration 384: c = a, s = ts, state = 9
Iteration 385: c = x, s = , state = 9
Iteration 386: c = [, s = rt, state = 9
Iteration 387: c = a, s = e, state = 9
Iteration 388: c = }, s = r, state = 9
Iteration 389: c = ), s = seeres, state = 9
Iteration 390: c = [, s = e, state = 9
Iteration 391: c = (, s = ers, state = 9
Iteration 392: c = {, s = tettts, state = 9
Iteration 393: c = }, s = strtrs, state = 9
Iteration 394: c = ], s = r, state = 9
Iteration 395: c =  , s = ss, state = 9
Iteration 396: c = [, s = rrtees, state = 9
Iteration 397: c = ], s = tt, state = 9
Iteration 398: c =  , s = ter, state = 9
Iteration 399: c = (, s = ets, state = 9
Iteration 400: c = x, s = ee, state = 9
Iteration 401: c = x, s = e, state = 9
Iteration 402: c = }, s = rr, state = 9
Iteration 403: c =  , s = , state = 9
Iteration 404: c = {, s = sstrs, state = 9
Iteration 405: c = ), s = stts, state = 9
Iteration 406: c =  , s = rerrrr, state = 9
Iteration 407: c = [, s = rters, state = 9
Iteration 408: c = ), s = eee, state = 9
Iteration 409: c =  , s = srt, state = 9
Iteration 410: c = ], s = rr, state = 9
Iteration 411: c = (, s = s, state = 9
Iteration 412: c =  , s = , state = 9
Iteration 413: c = ), s = rstser, state = 9
Iteration 414: c = }, s = rs, state = 9
Iteration 415: c = a, s = ttsree, state = 9
Iteration 416: c = ), s = , state = 9
Iteration 417: c = x, s = rt, state = 9
Iteration 418: c = ), s = , state = 9
Iteration 419: c = [, s = , state = 9
Iteration 420: c = }, s = , state = 9
Iteration 421: c = }, s = r, state = 9
Iteration 422: c = [, s = es, state = 9
Iteration 423: c = a, s = t, state = 9
Iteration 424: c = a, s = tssstr, state = 9
Iteration 425: c = {, s = er, state = 9
Iteration 426: c = x, s = s, state = 9
Iteration 427: c = }, s = , state = 9
Iteration 428: c = a, s = s, state = 9
Iteration 429: c = ], s = , state = 9
Iteration 430: c = [, s = srt, state = 9
Iteration 431: c = a, s = ete, state = 9
Iteration 432: c = }, s = tstrtt, state = 9
Iteration 433: c = [, s = r, state = 9
Iteration 434: c = a, s = str, state = 9
Iteration 435: c = {, s = , state = 9
Iteration 436: c = {, s = s, state = 9
Iteration 437: c = {, s = ssrerr, state = 9
Iteration 438: c = {, s = , state = 9
Iteration 439: c = {, s = serert, state = 9
Iteration 440: c = }, s = ts, state = 9
Iteration 441: c =  , s = s, state = 9
Iteration 442: c = x, s = eretss, state = 9
Iteration 443: c = a, s = rttete, state = 9
Iteration 444: c =  , s = etstrs, state = 9
Iteration 445: c = }, s = e, state = 9
Iteration 446: c = x, s = stesrs, state = 9
Iteration 447: c = }, s = se, state = 9
Iteration 448: c = }, s = set, state = 9
Iteration 449: c = {, s = et, state = 9
Iteration 450: c = [, s = ss, state = 9
Iteration 451: c = ), s = rrr, state = 9
Iteration 452: c = [, s = trr, state = 9
Iteration 453: c = {, s = s, state = 9
Iteration 454: c = ), s = sre, state = 9
Iteration 455: c = [, s = esss, state = 9
Iteration 456: c = (, s = , state = 9
Iteration 457: c =  , s = etrss, state = 9
Iteration 458: c = {, s = , state = 9
Iteration 459: c = ], s = e, state = 9
Iteration 460: c = ], s = ssseer, state = 9
Iteration 461: c = a, s = e, state = 9
Iteration 462: c = a, s = , state = 9
Iteration 463: c = {, s = reer, state = 9
Iteration 464: c = a, s = trrret, state = 9
Iteration 465: c = [, s = etrset, state = 9
Iteration 466: c = {, s = , state = 9
Iteration 467: c = a, s = tr, state = 9
Iteration 468: c = a, s = rrs, state = 9
Iteration 469: c = [, s = rrr, state = 9
Iteration 470: c = [, s = tr, state = 9
Iteration 471: c = }, s = , state = 9
Iteration 472: c = ], s = ssttee, state = 9
Iteration 473: c = [, s = steet, state = 9
Iteration 474: c = x, s = ttt, state = 9
Iteration 475: c = ], s = rtesrs, state = 9
Iteration 476: c = (, s = st, state = 9
Iteration 477: c = }, s = , state = 9
Iteration 478: c = {, s = tttss, state = 9
Iteration 479: c = ), s = stte, state = 9
Iteration 480: c = [, s = r, state = 9
Iteration 481: c = }, s = , state = 9
Iteration 482: c = }, s = rsst, state = 9
Iteration 483: c = ), s = t, state = 9
Iteration 484: c = (, s = es, state = 9
Iteration 485: c =  , s = s, state = 9
Iteration 486: c = a, s = re, state = 9
Iteration 487: c = }, s = ssser, state = 9
Iteration 488: c = ], s = t, state = 9
Iteration 489: c = ), s = tere, state = 9
Iteration 490: c = ), s = , state = 9
Iteration 491: c = [, s = t, state = 9
Iteration 492: c =  , s = t, state = 9
Iteration 493: c = ], s = rsrerr, state = 9
Iteration 494: c = a, s = , state = 9
Iteration 495: c = ), s = test, state = 9
Iteration 496: c = ), s = sssets, state = 9
Iteration 497: c = a, s = e, state = 9
Iteration 498: c = ], s = t, state = 9
Iteration 499: c = }, s = rtertr, state = 9
Iteration 500: c = [, s = eesstr, state = 9
Iteration 501: c = {, s = , state = 9
Iteration 502: c = x, s = rsrtst, state = 9
Iteration 503: c = {, s = errsre, state = 9
Iteration 504: c = (, s = , state = 9
Iteration 505: c =  , s = esetrt, state = 9
Iteration 506: c = a, s = , state = 9
Iteration 507: c = {, s = , state = 9
Iteration 508: c = {, s = seteet, state = 9
Iteration 509: c = }, s = , state = 9
Iteration 510: c = {, s = , state = 9
Iteration 511: c = (, s = ee, state = 9
Iteration 512: c = (, s = , state = 9
Iteration 513: c = [, s = eterst, state = 9
Iteration 514: c = ), s = r, state = 9
Iteration 515: c = {, s = rrte, state = 9
Iteration 516: c = ], s = s, state = 9
Iteration 517: c = (, s = , state = 9
Iteration 518: c = a, s = seests, state = 9
Iteration 519: c = x, s = trrtr, state = 9
Iteration 520: c = }, s = , state = 9
Iteration 521: c = }, s = rtrses, state = 9
Iteration 522: c = ], s = , state = 9
Iteration 523: c =  , s = , state = 9
Iteration 524: c = }, s = ese, state = 9
Iteration 525: c =  , s = , state = 9
Iteration 526: c =  , s = tsssrt, state = 9
Iteration 527: c = (, s = teess, state = 9
Iteration 528: c = x, s = rsse, state = 9
Iteration 529: c = a, s = ttts, state = 9
Iteration 530: c =  , s = essstt, state = 9
Iteration 531: c = {, s = eterte, state = 9
Iteration 532: c = x, s = ress, state = 9
Iteration 533: c = ), s = eestr, state = 9
Iteration 534: c = ], s = tsrrte, state = 9
Iteration 535: c = }, s = rterse, state = 9
Iteration 536: c = (, s = , state = 9
Iteration 537: c = ], s = eststr, state = 9
Iteration 538: c = a, s = t, state = 9
Iteration 539: c = }, s = retttt, state = 9
Iteration 540: c = }, s = , state = 9
Iteration 541: c = x, s = , state = 9
Iteration 542: c =  , s = esrser, state = 9
Iteration 543: c = ], s = srser, state = 9
Iteration 544: c =  , s = , state = 9
Iteration 545: c = [, s = srrrrt, state = 9
Iteration 546: c = x, s = sr, state = 9
Iteration 547: c = x, s = s, state = 9
Iteration 548: c = ), s = eteert, state = 9
Iteration 549: c = ], s = t, state = 9
Iteration 550: c = }, s = sst, state = 9
Iteration 551: c = {, s = , state = 9
Iteration 552: c = }, s = sstret, state = 9
Iteration 553: c = a, s = rtetst, state = 9
Iteration 554: c = ], s = tssr, state = 9
Iteration 555: c = [, s = trr, state = 9
Iteration 556: c = (, s = , state = 9
Iteration 557: c = }, s = tetere, state = 9
Iteration 558: c = {, s = errr, state = 9
Iteration 559: c = a, s = e, state = 9
Iteration 560: c = x, s = rt, state = 9
Iteration 561: c = (, s = e, state = 9
Iteration 562: c = [, s = r, state = 9
Iteration 563: c = [, s = r, state = 9
Iteration 564: c = a, s = rsetrt, state = 9
Iteration 565: c =  , s = s, state = 9
Iteration 566: c = x, s = st, state = 9
Iteration 567: c = a, s = eesret, state = 9
Iteration 568: c = {, s = stterr, state = 9
Iteration 569: c = [, s = r, state = 9
Iteration 570: c = {, s = rs, state = 9
Iteration 571: c = a, s = t, state = 9
Iteration 572: c = ), s = e, state = 9
Iteration 573: c = {, s = e, state = 9
Iteration 574: c = (, s = erseer, state = 9
Iteration 575: c =  , s = , state = 9
Iteration 576: c = ], s = rs, state = 9
Iteration 577: c = }, s = er, state = 9
Iteration 578: c = [, s = rt, state = 9
Iteration 579: c = x, s = ressst, state = 9
Iteration 580: c = [, s = seret, state = 9
Iteration 581: c = [, s = , state = 9
Iteration 582: c = {, s = tst, state = 9
Iteration 583: c =  , s = trrtet, state = 9
Iteration 584: c =  , s = , state = 9
Iteration 585: c = (, s = eeeees, state = 9
Iteration 586: c = (, s = srsre, state = 9
Iteration 587: c = ), s = , state = 9
Iteration 588: c = }, s = e, state = 9
Iteration 589: c = x, s = err, state = 9
Iteration 590: c = (, s = , state = 9
Iteration 591: c = {, s = t, state = 9
Iteration 592: c = [, s = tr, state = 9
Iteration 593: c = x, s = ertes, state = 9
Iteration 594: c = x, s = srsrse, state = 9
Iteration 595: c = x, s = r, state = 9
Iteration 596: c = ], s = eeetrt, state = 9
Iteration 597: c = {, s = seesse, state = 9
Iteration 598: c =  , s = , state = 9
Iteration 599: c = ), s = sstets, state = 9
Iteration 600: c =  , s = rs, state = 9
Iteration 601: c = x, s = e, state = 9
Iteration 602: c = ), s = strtss, state = 9
Iteration 603: c = ), s = sstt, state = 9
Iteration 604: c = a, s = srsssr, state = 9
Iteration 605: c = [, s = , state = 9
Iteration 606: c = (, s = , state = 9
Iteration 607: c =  , s = ts, state = 9
Iteration 608: c = x, s = ststtt, state = 9
Iteration 609: c = x, s = rt, state = 9
Iteration 610: c = ], s = t, state = 9
Iteration 611: c = x, s = eert, state = 9
Iteration 612: c = (, s = st, state = 9
Iteration 613: c = ], s = , state = 9
Iteration 614: c =  , s = sssete, state = 9
Iteration 615: c =  , s = retrsr, state = 9
Iteration 616: c = ), s = rsserr, state = 9
Iteration 617: c = }, s = tttees, state = 9
Iteration 618: c = {, s = s, state = 9
Iteration 619: c = x, s = rt, state = 9
Iteration 620: c = (, s = , state = 9
Iteration 621: c = [, s = tss, state = 9
Iteration 622: c = {, s = sr, state = 9
Iteration 623: c = [, s = ersrtt, state = 9
Iteration 624: c = }, s = rss, state = 9
Iteration 625: c = }, s = srtsss, state = 9
Iteration 626: c = x, s = srt, state = 9
Iteration 627: c = [, s = eteee, state = 9
Iteration 628: c = {, s = tteter, state = 9
Iteration 629: c = (, s = , state = 9
Iteration 630: c = a, s = rsstee, state = 9
Iteration 631: c = (, s = r, state = 9
Iteration 632: c = [, s = ttr, state = 9
Iteration 633: c =  , s = , state = 9
Iteration 634: c =  , s = eetr, state = 9
Iteration 635: c = ), s = eserer, state = 9
Iteration 636: c = (, s = tet, state = 9
Iteration 637: c = {, s = e, state = 9
Iteration 638: c = ), s = eeeest, state = 9
Iteration 639: c = {, s = ereete, state = 9
Iteration 640: c = ), s = res, state = 9
Iteration 641: c = ), s = rsrest, state = 9
Iteration 642: c =  , s = retest, state = 9
Iteration 643: c =  , s = rssets, state = 9
Iteration 644: c = x, s = s, state = 9
Iteration 645: c = [, s = rrtstt, state = 9
Iteration 646: c = x, s = e, state = 9
Iteration 647: c = a, s = eteer, state = 9
Iteration 648: c =  , s = te, state = 9
Iteration 649: c = [, s = , state = 9
Iteration 650: c = x, s = et, state = 9
Iteration 651: c =  , s = eres, state = 9
Iteration 652: c = {, s = r, state = 9
Iteration 653: c = a, s = trrese, state = 9
Iteration 654: c =  , s = ttetsr, state = 9
Iteration 655: c = }, s = rrrrer, state = 9
Iteration 656: c = {, s = tet, state = 9
Iteration 657: c =  , s = rss, state = 9
Iteration 658: c = ], s = t, state = 9
Iteration 659: c = ], s = rertst, state = 9
Iteration 660: c = }, s = sterrt, state = 9
Iteration 661: c = [, s = ersrst, state = 9
Iteration 662: c =  , s = eeetrr, state = 9
Iteration 663: c = {, s = , state = 9
Iteration 664: c = ), s = tesest, state = 9
Iteration 665: c = {, s = e, state = 9
